Rank,Listing ID,Title,Brand,Price GBP,Likes,Previous Likes,Likes Gained,Likes Gained %,Previous Rank,Rank Change,New Listing,Condition,URL
84,10012679878,Nike medium mustard dri fit t shirt,,6.0,1,,,,,,Yes,,https://www.vinted.co.uk/items/10012679878-nike-medium-mustard-dri-fit-t-shirt
85,10007068519,Running T shirts,,8.0,1,,,,,,Yes,,https://www.vinted.co.uk/items/10007068519-running-t-shirts
86,9977049955,Mans T Shirt and Joggers size M=38/40chest by Tirainhae BNWT,,5.0,0,,,,,,Yes,,https://www.vinted.co.uk/items/9977049955-mans-t-shirt-and-joggers-size-m3840chest-by-tirainhae-bnwt
87,10016726733,Nike Run T-shirt,,4.5,0,,,,,,Yes,,https://www.vinted.co.uk/items/10016726733-nike-run-t-shirt
88,9359781504,Men t-shirts,,5.0,0,,,,,,Yes,,https://www.vinted.co.uk/items/9359781504-men-t-shirts
89,10016777134,Nike t shirt running,,5.0,0,,,,,,Yes,,https://www.vinted.co.uk/items/10016777134-nike-t-shirt-running
90,9968974190,Nike Dri-FIT Running T-Shirt – Red – Men's Large,,8.0,0,,,,,,Yes,,https://www.vinted.co.uk/items/9968974190-nike-dri-fit-running-t-shirt-red-mens-large
91,9995724397,Under Armour HeatGear T-Shirt Men’s Medium – Blue USA Flag Logo Pattern,,10.69,0,,,,,,Yes,,https://www.vinted.co.uk/items/9995724397-under-armour-heatgear-t-shirt-mens-medium-blue-usa-flag-logo-pattern
92,9963064203,Blue Nike Running T-Shirt,,20.0,0,,,,,,Yes,,https://www.vinted.co.uk/items/9963064203-blue-nike-running-t-shirt
93,9807500197,Nike Running Grey Printed Excuses Suck Cotton Tee T-shirt Size L,,4.0,0,,,,,,Yes,,https://www.vinted.co.uk/items/9807500197-nike-running-grey-printed-excuses-suck-cotton-tee-t-shirt-size-l
94,10003576059,Under Armour Delaware Running Festival 2022 T-Shirt Large Grey 5K,,10.0,0,,,,,,Yes,,https://www.vinted.co.uk/items/10003576059-under-armour-delaware-running-festival-2022-t-shirt-large-grey-5k
95,9970440420,STAX run club t shirt,,3.21,0,,,,,,Yes,,https://www.vinted.co.uk/items/9970440420-stax-run-club-t-shirt
96,10011185952,Ronhill  running t shirt Snowdon marathon size small,,2.0,0,,,,,,Yes,,https://www.vinted.co.uk/items/10011185952-ronhill-running-t-shirt-snowdon-marathon-size-small
